ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"85.92.183.97","elite","AS199335","GB","Talk Straight Ltd.","9","N/A","4145","socks4","43","1","2023-03-07T05:09:14.259Z","100","1192","1194"
"197.234.13.25","elite","AS36902","SC","Intelvision","167","Intelvision Ltd","4145","socks4","45","1","2023-03-07T05:09:13.979Z","100","1190","1194"
"222.223.115.225","elite","AS4134","CN","Chinanet","218","Chinanet HE","7302","socks5","40","1","2023-03-07T05:09:11.550Z","95","1137","1195"
"222.124.130.196","elite","AS7713","ID","Telekomunikasi Indonesia","190","PT. TELKOM INDONESIA","4145","socks4","44","1","2023-03-07T05:09:10.068Z","73","875","1195"
"45.115.115.146","elite","AS55828","BD","Drik ICT Ltd","215","Drik ICT Ltd","31141","socks4","60","1","2023-03-07T05:09:05.254Z","95","1136","1195"
"103.51.44.9","elite","AS133819","ID","CIM","189","N/A","4145","socks4","39","1","2023-03-07T05:09:01.536Z","99","1186","1193"
"119.18.158.130","elite","AS55685","ID","PT. Jala Lintas Media","196","N/A","4153","socks4","40","1","2023-03-07T05:09:00.346Z","99","1184","1190"
"200.0.247.84","elite","AS10834","AR","Telefonica de Argentina","227","Smart S.A","4153","socks4","65","1","2023-03-07T05:09:00.717Z","99","1180","1192"
"14.160.23.139","elite","AS45899","VN","VNPT-VNNIC","274","VietNam Post and Telecom Corporation","4145","socks4","38","1","2023-03-07T05:08:59.273Z","98","1060","1078"
"162.0.220.219","elite","AS22612","US","Namecheap, Inc.","133","Namecheap, Inc.","59189","socks5","40","1","2023-03-07T05:08:59.386Z","100","1174","1178"
"51.81.31.64","elite","AS16276","US","OVH SAS","81","OVH US LLC","22505","socks5","41","1","2023-03-07T05:08:59.799Z","99","1167","1175"
"84.54.185.203","anonymous","AS29084","BG","ComNet Bulgaria Ltd","48","Comnet Bulgaria Holding Ltd.","8080","http","43","93","2023-03-07T05:08:58.492Z","99","1071","1079"
"200.58.77.188","elite","AS27839","BO","Comteco Ltda","200","Comteco Ltda","1080","socks4","38","1","2023-03-07T05:08:58.563Z","99","1182","1188"
"129.205.244.158","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","194","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","1080","socks4","49","1","2023-03-07T05:08:57.208Z","99","1080","1090"
"85.132.8.106","elite","AS201167","AZ","Delta","92","N/A","4153","socks4","47","1","2023-03-07T05:08:57.509Z","99","1162","1174"
"162.14.135.190","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","224","Tencent Cloud Computing (Beijing) Co., Ltd","10800","socks4","44","1","2023-03-07T05:08:56.115Z","99","1178","1193"
"213.210.67.186","elite","AS15759","RU","TOMSKTELECOM","102","OJSC Rostelecom","3629","socks4","47","1","2023-03-07T05:08:56.982Z","95","1138","1195"
"173.236.179.25","elite","AS26347","US","New Dream Network, LLC","80","New Dream Network, LLC","59540","socks5","37","1","2023-03-07T05:08:55.756Z","100","1152","1154"
"186.211.6.137","elite","AS53156","BR","PortalSAT Telecom","200","eliziane oliveira sobrinho","4145","socks4","69","1","2023-03-07T05:08:55.019Z","97","1163","1193"
"80.28.111.248","elite","AS3352","ES","TDENET (Red de servicios IP)","34","N/A","4145","socks4","37","1","2023-03-07T05:08:55.901Z","99","1184","1190"
"110.77.135.70","elite","AS131090","TH","CAT Telecom Public Company Limited","182","N/A","4145","socks4","82","1","2023-03-07T05:08:55.146Z","98","1166","1193"
"185.162.93.62","elite","AS41722","RU","MIRAN-VS","57","N/A","9050","socks5","54","1","2023-03-07T05:08:55.713Z","100","1149","1150"
"115.242.248.222","elite","AS55836","IN","Reliance Jio Infocomm Limited","154","Reliance Jio Infocomm Limited","5678","socks4","60","1","2023-03-07T05:08:54.733Z","100","1112","1114"
"34.64.4.65","elite","AS139070","SG","Google Asia Pacific Pte. Ltd.","250","Google LLC","80","socks5","46","1","2023-03-07T05:08:54.594Z","100","1071","1071"
"213.179.245.72","elite","AS6849","UA","UKRTELECOM","55","JSC Ukrtelecom","4444","socks4","63","1","2023-03-07T05:08:54.363Z","90","998","1110"
"202.124.46.65","elite","AS9902","KH","NeocomISP Limited","192","NeocomISP Limited","4145","socks4","43","1","2023-03-07T05:08:53.601Z","100","1186","1191"
"45.7.177.249","elite","AS266626","BR","Litoral Telecom","195","Litoral Telecom","39867","socks4","133","1","2023-03-07T05:08:53.421Z","99","1180","1191"
"202.159.35.97","elite","AS9340","ID","PT IndoInternet","183","N/A","443","socks4","50","1","2023-03-07T05:08:53.435Z","100","1157","1157"
"125.25.33.221","elite","AS23969","TH","TOT Public Company Limited","163","TOT Public Company Limited","23969","socks5","97","1","2023-03-07T05:08:53.131Z","84","978","1168"
"110.78.151.213","elite","AS131090","TH","CAT-BB","177","N/A","4145","socks4","81","1","2023-03-07T05:08:53.641Z","59","629","1075"
"217.115.213.187","elite","AS9050","RO","Orange Romania Communication S.A","51","Orange Romania Communications","4145","socks4","103","1","2023-03-07T05:08:53.068Z","99","1064","1079"
"190.226.241.68","elite","AS264691","AR","Servicoop S.A.","258","Servicoop S.A","3629","socks4","64","1","2023-03-07T05:08:53.301Z","99","1142","1148"
"200.115.188.52","elite","AS52422","HN","Velco Globalnetwork","135","Velco Globalnetwork","8080","socks4","254","1","2023-03-07T05:08:53.394Z","99","1133","1150"
